cell,snr_db,provenance,frames,held_out_frames,incumbent_crc_recovery,candidate_crc_recovery,incumbent_evm_median,candidate_evm_median,incumbent_raw_crest_p99_9_db,candidate_raw_crest_p99_9_db,wall_seconds,crc_difference
awgn-snr18,18.0,modelled identity channel,1000,800,0.90125,0.85625,0.16142719079969936,0.16114401862171943,15.33604152569265,12.437978108643645,10.056048791855574,-0.04500000000000004
awgn-snr26,26.0,modelled identity channel,1000,800,1.0,1.0,0.06460117608349379,0.06373750005733578,15.068560617545822,12.349781900895398,10.043792417272925,0.0
golden-mic0-snr18,18.0,"Tests/Fixtures/golden deterministic RX_CHANNEL_TAPS; model fixture, not a measured RIR",1000,800,0.0,0.0,0.2375887339597991,0.2368068434344576,15.229529057826891,12.18181841826278,10.442773000337183,0.0
golden-mic0-snr26,26.0,"Tests/Fixtures/golden deterministic RX_CHANNEL_TAPS; model fixture, not a measured RIR",1000,800,0.94125,0.9725,0.11621083464096643,0.11552063430786713,15.659294739973882,12.366358641412331,10.467597124632448,0.03125
golden-mic1-snr18,18.0,"Tests/Fixtures/golden deterministic RX2_CHANNEL_TAPS; model fixture, not a measured RIR",1000,800,0.00625,0.00375,0.2106893288195409,0.20974914777269715,15.076831510926686,12.30532082098229,10.45664345799014,-0.0025000000000000005
golden-mic1-snr26,26.0,"Tests/Fixtures/golden deterministic RX2_CHANNEL_TAPS; model fixture, not a measured RIR",1000,800,0.9975,0.9925,0.1028083624043496,0.10223613766928577,15.114420333579815,12.395459548021988,10.48137145768851,-0.0050000000000000044
model-short-snr18,18.0,synthetic CP-bounded sparse response,1000,800,0.2675,0.29625,0.18597815215083288,0.18572171041491675,14.782099942460928,12.319469963779428,11.304412041790783,0.028749999999999998
model-short-snr26,26.0,synthetic CP-bounded sparse response,1000,800,1.0,1.0,0.07376980854930577,0.07296372561427658,14.892767739640707,12.403744999669911,10.552857709117234,0.0
model-long-snr18,18.0,synthetic CP-exceeding sparse response,1000,800,0.0,0.0,0.24242542229577074,0.23713464467597967,14.909660427045143,12.434252159814493,10.496078916825354,0.0
model-long-snr26,26.0,synthetic CP-exceeding sparse response,1000,800,0.72125,0.78,0.14452788425893187,0.1405986466821902,14.933927012264288,12.234227728450845,10.555828916840255,0.05875000000000008
